timestamp,price,year,make,model,body,mileage,title_type,city,state,seller,trim,ext_color,int_color,transmission,liters,cylinders,fuel_type,n_doors,ext_condition,int_condition,drive_type,n_pics
1584383566,18988,2016,BMW,X1,Crossover,33324,Clean Title,Bountiful,UT,Dealer,xDrive28i,brown,white,Automatic,,4.0,Gasoline,5.0,Excellent,Excellent,AWD,30
1584383576,6000,2005,Dodge,Ram 1500,Truck,134244,Clean Title,Smithfield,UT,Dealer,SLT,red,tan,Automatic,,8.0,Gasoline,4.0,Very Good,Very Good,4-Wheel Drive,27
1584383600,4850,2012,Volkswagen,Jetta,Wagon,114020,Rebuilt/Reconstructed Title,North Salt Lake,UT,Owner,SE,gray,black,Automatic,,5.0,Gasoline,5.0,Excellent,Excellent,,17
1584383798,8995,2011,Nissan,Juke,Wagon,94737,,Boise,ID,Dealer,SV,glacier pearl,black,Automatic,,4.0,Gasoline,,,,AWD,0
1584383848,1250,1987,Chevrolet,3/4 Ton,Truck,93000,Clean Title,Cedar Hills,UT,Owner,,,,Automanual,,8.0,Gasoline,2.0,,,,3
1584383860,4295,2001,Ford,Ranger,Truck,153750,Clean Title,Roy,UT,Dealer,XLT,white,gray,Manual,,6.0,Gasoline,2.0,Very Good,Very Good,4-Wheel Drive,7
1584383880,31990,2016,Toyota,4Runner,Sport Utility,44500,Clean Title,Orem,UT,Dealer,SR5 Premium,silver,black,Automatic,,6.0,Gasoline,4.0,Excellent,Excellent,4-Wheel Drive,12
1584383898,19390,2019,Ford,Escape,SUV,17828,Clean Title,Tooele,UT,Dealer,SEL,black,gray,Automatic,1.5,4.0,Gasoline,4.0,Excellent,Excellent,4-Wheel Drive,26
1584383566,18988,2016,BMW,X1,Crossover,33324,Clean Title,Bountiful,UT,Dealer,xDrive28i,brown,white,Automatic,,4.0,Gasoline,5.0,Excellent,Excellent,AWD,30
1584383576,6000,2005,Dodge,Ram 1500,Truck,134244,Clean Title,Smithfield,UT,Dealer,SLT,red,tan,Automatic,,8.0,Gasoline,4.0,Very Good,Very Good,4-Wheel Drive,27
1584383600,4850,2012,Volkswagen,Jetta,Wagon,114020,Rebuilt/Reconstructed Title,North Salt Lake,UT,Owner,SE,gray,black,Automatic,,5.0,Gasoline,5.0,Excellent,Excellent,,17
