,timestamp,lastpull_ts,link,price,year,make,model,body,mileage,title_type,city,state,seller,trim,ext_color,int_color,transmission,liters,cylinders,fuel_type,n_doors,ext_condition,int_condition,drive_type,n_pics,views,favorites,workingURL,view_rate,favorite_rate,fav_per_view
134,1584387626,1584570132,https://cars.ksl.com/listing/6312721,11250,2010,Mercedes-Benz,E-Class,Sedan,115842,,Salt Lake City,UT,Dealer,E 350 Luxury,white,black,Automatic,,6.0,Gasoline,4.0,,,AWD,2,13.0,0.0,1,6.154318214195698,0.0,0.0
135,1584387620,1584570134,https://cars.ksl.com/listing/6312720,28500,2017,Honda,Pilot,Sport Utility,50772,,Salt Lake City,UT,Dealer,EX-L,white,beige,Automatic,,6.0,Gasoline,4.0,,,4-Wheel Drive,2,7.0,0.0,1,3.3137183996844075,0.0,0.0
136,1584387616,1584570136,https://cars.ksl.com/listing/6312719,8750,2008,Honda,Element,Sport Utility,198804,,Salt Lake City,UT,Dealer,EX,blue,gray/black,Automatic,,4.0,Gasoline,4.0,,,4-Wheel Drive,1,9.0,0.0,1,4.260355029585798,0.0,0.0
137,1584387612,1584570136,https://cars.ksl.com/listing/6312718,15990,2013,Honda,CR-V,Sport Utility,32010,,Salt Lake City,UT,Dealer,LX,gray,gray,Automatic,,4.0,Gasoline,4.0,,,4-Wheel Drive,1,4.0,0.0,1,1.893449628542,0.0,0.0
138,1584387553,1584570137,https://cars.ksl.com/listing/6312717,8995,2012,Kia,Optima,Sedan,96562,Clean Title,North Salt Lake,UT,Dealer,SX Turbo,gray,black,Automatic,,4.0,Gasoline,4.0,,,FWD,5,72.0,4.0,1,34.07089339701179,1.892827410945099,0.05555555555555555
139,1584387520,1584570139,https://cars.ksl.com/listing/6312716,35323,2017,Nissan,Armada,Sport Utility,39890,,Lehi,UT,Dealer,Platinum,hermosa blue,almond,Automatic,,8.0,Gasoline,4.0,,,4-Wheel Drive,1,16.0,0.0,1,7.569858557981371,0.0,0.0
140,1584387516,1584570141,https://cars.ksl.com/listing/6312715,21874,2017,Subaru,Crosstrek,Sport Utility,27892,,Lehi,UT,Dealer,Limited,crystal white pearl,black,Automatic,,4.0,Gasoline,4.0,,,,1,11.0,0.0,1,5.204106776180698,0.0,0.0
141,1584387513,1584570142,https://cars.ksl.com/listing/6271436,2800,2007,Dodge,Magnum,Wagon,213000,Clean Title,Sunset,UT,Owner,,red,black,,,6.0,Gasoline,4.0,Very Good,Good,AWD,9,218.0,2.0,1,103.13367537466667,0.946180508024465,0.009174311926605505
142,1584387495,1584570144,https://cars.ksl.com/listing/6312714,34998,2018,Dodge,Durango,Sport Utility,5538,,Heber City,UT,Dealer,Citadel,in-violet clearcoat,black,Automatic,,6.0,Gasoline,4.0,,,4-Wheel Drive,1,5.0,0.0,1,2.365192253995368,0.0,0.0
143,1584387492,1584570146,https://cars.ksl.com/listing/6312713,1600,2005,Chevrolet,Cobalt,Sedan,130000,Clean Title,Murray,UT,Owner,,red,gray,Automatic,,4.0,Gasoline,4.0,Good,Good,FWD,3,,,0,,,
144,1584387451,1584570148,https://cars.ksl.com/listing/6151440,38198,2016,GMC,Yukon,Sport Utility,46998,,American Fork,UT,Dealer,SLT,black,cocoa/shale,Automatic,,8.0,Gasoline,4.0,,,4-Wheel Drive,23,377.0,9.0,1,178.28864184961986,4.256227524261481,0.023872679045092837
145,1584387396,1584570149,https://cars.ksl.com/listing/4974678,28995,2017,Ram,1500,Truck,92437,Clean Title,Idaho Falls,ID,Dealer,Laramie,silver,black,Automatic,,8.0,Gasoline,,,,4-Wheel Drive,16,106.0,2.0,1,50.11354122777738,0.9455385137316488,0.018867924528301886
146,1584387395,1584570149,https://cars.ksl.com/listing/6312711,18967,2017,Jeep,Renegade,Sport Utility,36269,,Boise,ID,Dealer,Trailhawk,jetset blue,black,Automatic,,4.0,Gasoline,4.0,,,4-Wheel Drive,2,2.0,0.0,1,0.9455333398995369,0.0,0.0
147,1584387388,1584570151,https://cars.ksl.com/listing/6312710,39967,2018,Ram,2500,Truck,7038,,Boise,ID,Dealer,Tradesman,bright silver metallic clearcoat,diesel gray/black,Automatic,,6.0,Diesel,4.0,,,4-Wheel Drive,2,24.0,1.0,1,11.345841335500074,0.4727433889791697,0.041666666666666664
148,1584387371,1584570152,https://cars.ksl.com/listing/6312709,13852,2016,Nissan,Pathfinder,Sport Utility,93357,,Boise,ID,Dealer,SV,red,,Automatic,,6.0,Gasoline,4.0,,,,1,1.0,0.0,1,0.47269683391599776,0.0,0.0
149,1584387368,1584570152,https://cars.ksl.com/listing/6312708,19641,2013,Jeep,Wrangler,Convertible,73277,,Boise,ID,Dealer,Sport,gecko pearl,black interior,Automatic,,6.0,Gasoline,2.0,,,4-Wheel Drive,1,17.0,0.0,1,8.035714285714285,0.0,0.0
150,1584387364,1584570154,https://cars.ksl.com/listing/6312707,14967,2013,BMW,3 Series,Sedan,37775,,Boise,ID,Dealer,320i xDrive,black,,Automatic,,4.0,Gasoline,4.0,,,AWD,1,8.0,0.0,1,3.781388478581979,0.0,0.0
151,1584387358,1584570156,https://cars.ksl.com/listing/6312706,29967,2017,Chevrolet,Silverado 1500,Truck,38742,,Boise,ID,Dealer,LT,graphite metallic,jet black,Automatic,,8.0,Gasoline,4.0,,,4-Wheel Drive,6,3.0,0.0,1,1.4179586209914767,0.0,0.0
152,1584387355,1584570156,https://cars.ksl.com/listing/6312705,35972,2019,Toyota,Tacoma,Truck,3441,,Boise,ID,Dealer,TRD Off Road,super white,,Automatic,,6.0,Gasoline,4.0,,,4-Wheel Drive,1,23.0,1.0,1,10.87083768688355,0.47264511682102395,0.043478260869565216
153,1584387268,1584570157,https://cars.ksl.com/listing/6312703,1500,1997,Subaru,Legacy,Sedan,208111,Clean Title,South Ogden,UT,Owner,2.5GT,blue,creme,Manual,,4.0,Gasoline,4.0,Fair,Very Good,AWD,13,,,0,,,
154,1584387258,1584570157,https://cars.ksl.com/listing/6312701,1000,2002,Honda,Accord,Sedan,203415,Clean Title,West Valley City,UT,Owner,,black,gray,,,4.0,Gasoline,2.0,Fair,Good,FWD,6,,,0,,,
155,1584387247,1584570158,https://cars.ksl.com/listing/6312700,3000,1966,Chevrolet,Caprice,Wagon,10,,Duchesne,UT,Owner,,,,,,,,,,,,4,230.0,7.0,1,108.64300124104074,3.306526124727326,0.030434782608695653
156,1584387176,1584570159,https://cars.ksl.com/listing/5889968,6995,2011,Mini,Cooper,Hatchback,79370,Clean Title,Pocatello,ID,Dealer,S,white,unspecified,Automatic,,4.0,Gasoline,,,,FWD,12,494.0,8.0,1,233.2544553319161,3.7774000863468196,0.016194331983805668
157,1584387173,1584570161,https://cars.ksl.com/listing/6273845,23650,2016,Toyota,Sienna,Minivan,19651,Clean Title,Lehi,UT,Dealer,XLE,black,gray,Automanual,,6.0,Gasoline,4.0,Excellent,Excellent,FWD,24,93.0,6.0,1,43.91107613614007,2.8329726539445206,0.06451612903225806
158,1584387165,1584570161,https://cars.ksl.com/listing/6193560,10000,2002,Dodge,Ram 2500,Truck,187690,Clean Title,Salt Lake City,UT,Owner,SLT,gray,gray,Automatic,,6.0,Diesel,4.0,Fair,Good,4-Wheel Drive,8,1106.0,20.0,1,522.1884631358063,9.442829351461235,0.018083182640144666
159,1584387119,1584570162,https://cars.ksl.com/listing/6312698,4995,2013,Volkswagen,Passat,Sedan,144876,Clean Title,Orem,UT,Dealer,S,silver,black,Automatic,,5.0,Gasoline,4.0,Excellent,Excellent,RWD,18,50.0,2.0,1,23.601011784116302,0.944040471364652,0.04
160,1584387096,1584570162,https://cars.ksl.com/listing/6271403,4985,2012,Dodge,Grand Caravan,Minivan,135090,Clean Title,Lehi,UT,Dealer,Crew,black,tan,Automanual,,6.0,Flex Fuel,4.0,Excellent,Excellent,FWD,21,67.0,2.0,1,31.621382452230343,0.9439218642456817,0.029850746268656716
161,1584387084,1584570163,https://cars.ksl.com/listing/6312696,21991,2013,Chevrolet,Suburban,Sport Utility,117995,Clean Title,Draper,UT,Dealer,LTZ,silver ice metallic,ebony,Automatic,,8.0,Flex Fuel,4.0,,,4-Wheel Drive,48,12.0,1.0,1,5.663129031729473,0.4719274193107893,0.08333333333333333
