post_date,lastpull_ts,link,price,year,make,model,body,mileage,title_type,city,state,seller,trim,ext_color,int_color,transmission,liters,cylinders,fuel_type,n_doors,ext_condition,int_condition,drive_type,VIN,n_pics
2020-03-21,1584803583,https://cars.ksl.com/listing/6288457,37999,2019,Acura,MDX,Sport Utility,4200.0,,Draper,UT,Dealer,with Advance Package,,,Automatic,,6.0,Gasoline,4.0,,,AWD,5J8YD4H89KL024034,31
2020-03-21,1584803585,https://cars.ksl.com/listing/6323807,8950,2012,Mitsubishi,Lancer,Sedan,74151.0,Clean Title,American Fork,UT,Dealer,SE,,,Automatic,,4.0,Gasoline,,,,AWD,JA32V2FW6CU010514,24
2020-03-21,1584803588,https://cars.ksl.com/listing/6323806,18950,2020,Kia,Sportage,Sport Utility,23501.0,Clean Title,American Fork,UT,Dealer,LX,,,Automatic,,4.0,Gasoline,,,,AWD,KNDPMCAC1L7634054,29
2020-03-21,1584803589,https://cars.ksl.com/listing/6323805,12950,2015,Kia,Optima,Sedan,73383.0,Clean Title,American Fork,UT,Dealer,SX Turbo,white,black,Automatic,,4.0,Gasoline,,,,,5XXGR4A6XFG452866,32
2020-03-21,1584803590,https://cars.ksl.com/listing/6323804,37450,2020,Chevrolet,Traverse,Sport Utility,12137.0,Clean Title,American Fork,UT,Dealer,LT Leather,,,Automatic,,6.0,Gasoline,,,,AWD,1GNEVHKW4LJ130649,32
2020-03-21,1584803591,https://cars.ksl.com/listing/5936829,13995,2015,Dodge,Challenger,Coupe,38911.0,Rebuilt/Reconstructed Title,Salt Lake City,UT,Dealer,SXT,charcoal,black,Automatic,,6.0,Gasoline,,,,RWD,2C3CDZAG5FH877917,27
2020-03-21,1584803592,https://cars.ksl.com/listing/6323803,27850,2019,GMC,Acadia,Sport Utility,21245.0,Clean Title,American Fork,UT,Dealer,SLT,,,Automatic,,6.0,Gasoline,,,,AWD,1GKKNULS1KZ219504,31
2020-03-21,1584803593,https://cars.ksl.com/listing/6323802,37450,2020,Chevrolet,Traverse,Sport Utility,16341.0,Clean Title,American Fork,UT,Dealer,LT Leather,,,Automatic,,6.0,Gasoline,,,,AWD,1GNEVHKW7LJ127292,30
2020-03-21,1584803594,https://cars.ksl.com/listing/6307015,12971,2017,Chevrolet,Cruze,Sedan,23117.0,,Kaysville,UT,Dealer,LT,cajun red tintcoat,jet black,Automatic,,4.0,Gasoline,4.0,,,FWD,3G1BE5SM9HS520511,23
2020-03-21,1584803595,https://cars.ksl.com/listing/6254147,4995,1998,Ford,Expedition,Sport Utility,236555.0,Clean Title,Jackson,WY,Dealer,XLT,red,,Automatic,,8.0,Gasoline,,,,4-Wheel Drive,1FMPU18L4WLA90635,17
2020-03-21,1584803598,https://cars.ksl.com/listing/6323799,28950,2019,Audi,Q3,Sport Utility,13580.0,Clean Title,Bountiful,UT,Dealer,Premium,,,Automatic,,4.0,Gasoline,,,,AWD,WA1AECF30K1077063,29
2020-03-21,1584803600,https://cars.ksl.com/listing/6254146,4995,1997,Ford,Expedition,Sport Utility,188245.0,Clean Title,Jackson,WY,Dealer,XLT,red,,Automatic,,8.0,Gasoline,,,,4-Wheel Drive,1FMFU18L0VLA99374,22
2020-03-21,1584803601,https://cars.ksl.com/listing/6323798,66950,2019,BMW,X7,Sport Utility,15821.0,Clean Title,Bountiful,UT,Dealer,xDrive40i,,,Automatic,,6.0,Gasoline,,,,AWD,5UXCW2C53KL087343,35
2020-03-21,1584803602,https://cars.ksl.com/listing/6323797,20750,2019,Nissan,Maxima,Sedan,33594.0,Clean Title,Bountiful,UT,Dealer,SV,,,Automatic,,6.0,Gasoline,,,,FWD,1N4AA6AV0KC364165,30
2020-03-21,1584803603,https://cars.ksl.com/listing/6323796,19750,2020,Kia,Sportage,Sport Utility,10781.0,Clean Title,Bountiful,UT,Dealer,LX,,,Automatic,,4.0,Gasoline,,,,AWD,KNDPMCAC6L7636432,29
2020-03-21,1584803604,https://cars.ksl.com/listing/6323795,17450,2019,Kia,Sportage,Sport Utility,17579.0,Clean Title,Bountiful,UT,Dealer,LX,,,Automatic,,4.0,Gasoline,,,,AWD,KNDPMCAC8K7575910,29
2020-03-21,1584803605,https://cars.ksl.com/listing/6323794,45950,2019,GMC,Yukon XL,Sport Utility,16507.0,Clean Title,Bountiful,UT,Dealer,SLT,,,Automatic,,8.0,Gasoline,,,,4-Wheel Drive,1GKS2GKC8KR304246,35
2020-03-21,1584803607,https://cars.ksl.com/listing/6145265,33169,2017,Nissan,NV Passenger,Van,29565.0,Clean Title,South Jordan,UT,Dealer,SL,white,beige,Automatic,,8.0,Gasoline,3.0,,,,5BZAF0AA2HN852181,16
2020-03-21,1584803608,https://cars.ksl.com/listing/6242572,16500,2001,Dodge,Ram 2500,Truck,95000.0,Clean Title,Saratoga Springs,UT,Owner,SLT,silver,gray,Automatic,5.9,6.0,Diesel,4.0,Good,Very Good,4-Wheel Drive,3B7KF23681G215528,13
2020-03-21,1584803608,https://cars.ksl.com/listing/6323793,25450,2020,GMC,Terrain,Sport Utility,13125.0,Clean Title,Bountiful,UT,Dealer,SLT,,,Automatic,,4.0,Gasoline,,,,AWD,3GKALVEV1LL106420,31
2020-03-21,1584803609,https://cars.ksl.com/listing/6323792,25950,2019,Ford,Edge,Sport Utility,16095.0,Clean Title,Bountiful,UT,Dealer,Titanium,,,Automatic,,4.0,Gasoline,,,,AWD,2FMPK4K98KBC37473,33
2020-03-21,1584803611,https://cars.ksl.com/listing/6145256,28750,2019,Ford,Edge,Sport Utility,18868.0,,Layton,UT,Dealer,Titanium,black,ebony,Automatic,,4.0,Gasoline,4.0,,,AWD,2FMPK4K98KBB53895,27
2020-03-21,1584803613,https://cars.ksl.com/listing/6323790,18900,2012,Ford,F-150,Truck,145191.0,,American Fork,UT,Dealer,Lariat,black,black,Automatic,,6.0,Gasoline,4.0,,,4-Wheel Drive,1FTFW1ET5CFC05140,48
2020-03-21,1584803613,https://cars.ksl.com/listing/6175071,32000,2017,Toyota,4Runner,Sport Utility,46580.0,,Lindon,UT,Dealer,TRD Pro,super white,black,Automatic,,6.0,Gasoline,4.0,,,4-Wheel Drive,JTEBU5JR1H5453691,39
2020-03-21,1584803614,https://cars.ksl.com/listing/6323789,43900,2015,Ford,F-350,Truck,56609.0,,American Fork,UT,Dealer,Lariat,white,black,Automatic,,8.0,Diesel,4.0,,,4-Wheel Drive,1FT8W3BT2FEB79020,52
2020-03-21,1584803615,https://cars.ksl.com/listing/6145250,19950,2014,Ford,F-150,Truck,106790.0,,Layton,UT,Dealer,XLT,silver,steel gray,Automatic,,6.0,Gasoline,4.0,,,4-Wheel Drive,1FTFW1ET3EFC53545,24
2020-03-21,1584803617,https://cars.ksl.com/listing/6160492,31511,2019,Acura,MDX,Sport Utility,9641.0,,Lindon,UT,Dealer,with Technology Package,blue,parchment,Automatic,,6.0,Gasoline,4.0,,,AWD,5J8YD4H55KL007947,67
2020-03-21,1584803618,https://cars.ksl.com/listing/6160491,16000,2019,Honda,HR-V,Sport Utility,5103.0,,Lindon,UT,Dealer,Sport,gray,black,Automatic,,4.0,Gasoline,4.0,,,FWD,3CZRU5H18KG705983,62
2020-03-21,1584803619,https://cars.ksl.com/listing/6160489,5995,2010,Subaru,Impreza,Sedan,108398.0,Clean Title,Orem,UT,Dealer,i Premium Special Edition,silver,black,Manual,,4.0,Gasoline,,,,,JF1GE6B60AG512604,26
2020-03-21,1584803621,https://cars.ksl.com/listing/6160478,2995,2006,Subaru,Forester,Sport Utility,148147.0,,Orem,UT,Dealer,2.5 X,white,gray,Automatic,,4.0,Gasoline,4.0,,,AWD,JF1SG63616H741152,7
2020-03-21,1584803621,https://cars.ksl.com/listing/6160477,32000,2018,Mazda,CX-9,Sport Utility,23366.0,,Orem,UT,Dealer,Grand Touring,red,black,Automatic,,4.0,Gasoline,4.0,,,AWD,JM3TCBDY0J0207237,27
2020-03-21,1584803622,https://cars.ksl.com/listing/6145238,34590,2016,Ford,F-150,Truck,68224.0,,Layton,UT,Dealer,Platinum,white,medium light camel,Automatic,,6.0,Gasoline,4.0,,,4-Wheel Drive,1FTEW1EGXGFB43979,31
2020-03-21,1584803623,https://cars.ksl.com/listing/6145234,22100,2019,Hyundai,Veloster,,12307.0,,Layton,UT,Dealer,Turbo Ultimate,orange,black,Automatic,,4.0,Gasoline,3.0,,,,KMHTH6AB9KU015810,27
2020-03-21,1584803624,https://cars.ksl.com/listing/6175069,24224,2019,Nissan,Pathfinder,Sport Utility,18374.0,,Boise,ID,Dealer,SV,white,charcoal,,3.5,6.0,Gasoline,4.0,,,4-Wheel Drive,5N1DR2MM8KC624173,31
2020-03-21,1584803624,https://cars.ksl.com/listing/6077369,18645,2014,Nissan,Titan,Truck,79002.0,,Nampa,ID,Dealer,S,black,gray,,,8.0,Gasoline,4.0,,,4-Wheel Drive,1N6AA0EJ3EN505296,23
2020-03-21,1584803646,https://cars.ksl.com/listing/6145233,14500,2019,Kia,Soul,Hatchback,19562.0,,Layton,UT,Dealer,Base,gray,black,Automatic,,4.0,Gasoline,4.0,,,FWD,KNDJN2A24K7025463,25
2020-03-21,1584803647,https://cars.ksl.com/listing/6175068,11487,2016,Nissan,Sentra,Sedan,36745.0,,Boise,ID,Dealer,S,black,charcoal,,1.8,4.0,Gasoline,4.0,,,FWD,3N1AB7AP9GY255512,31
2020-03-21,1584803648,https://cars.ksl.com/listing/6217679,12900,2012,Nissan,Maxima,Sedan,50079.0,,Midvale,UT,Dealer,3.5 SV,brilliant silver metallic,charcoal,Automatic,,6.0,Gasoline,4.0,,,FWD,1N4AA5AP4CC856517,16
2020-03-21,1584803650,https://cars.ksl.com/listing/6306994,12994,2018,Nissan,Sentra,Sedan,23443.0,,Bountiful,UT,Dealer,SV,deep blue pearl,charcoal,Automatic,,4.0,Gasoline,4.0,,,FWD,3N1AB7AP9JL644820,30
2020-03-21,1584803651,https://cars.ksl.com/listing/6323787,63940,2017,Ford,F-350,Truck,18004.0,,Layton,UT,Dealer,Lariat,white platinum metallic tri-coat,black,Automatic,,8.0,Diesel,,,,4-Wheel Drive,1FT8W3BT7HEE96150,1
2020-03-21,1584803652,https://cars.ksl.com/listing/6160472,11595,2017,Nissan,Rogue,Sport Utility,77413.0,Clean Title,American Fork,UT,Dealer,S,blue,charcoal,Automatic,,4.0,Gasoline,4.0,,,FWD,KNMAT2MT1HP550032,20
