post_date,lastpull_ts,link,price,year,make,model,body,mileage,title_type,city,state,seller,trim,ext_color,int_color,transmission,liters,cylinders,fuel_type,n_doors,ext_condition,int_condition,drive_type,VIN,n_pics
2020-03-21,1584801262,https://cars.ksl.com/listing/6286504,15000,2019,Volkswagen,Jetta,Sedan,13000,Clean Title,Woods Cross,UT,Owner,1.4T S,gray,black,Manual,,4.0,Gasoline,4.0,Excellent,Excellent,,3VWN57BU4KM045794,13
2020-03-21,1584801262,https://cars.ksl.com/listing/6324060,5500,2002,Chevrolet,Silverado 1500,Truck,182000,Clean Title,Layton,UT,Owner,,,,,,8.0,Gasoline,,,,4-Wheel Drive,1GCEK19V12E268985,6
2020-03-21,1584801263,https://cars.ksl.com/listing/6238804,25995,2016,Toyota,Tundra,Truck,44441,Rebuilt/Reconstructed Title,Lindon,UT,Dealer,Platinum,charcoal,black,Automatic,,8.0,Flex Fuel,,,,4-Wheel Drive,5TFAW5F16GX543578,85
2020-03-21,1584801265,https://cars.ksl.com/listing/6161182,18500,2016,Acura,RDX,Sport Utility,53046,,Murray,UT,Dealer,Tech,black,,,,6.0,Gasoline,,,,FWD,5J8TB3H59GL004017,24
2020-03-21,1584801265,https://cars.ksl.com/listing/6205990,22995,2013,Ford,F-150,Truck,91564,Clean Title,Lehi,UT,Dealer,Lariat,black,,Automatic,,6.0,Gasoline,,,,4-Wheel Drive,1FTFW1ET9DFC99086,31
2020-03-21,1584801266,https://cars.ksl.com/listing/6237297,46970,2019,Land Rover,Range Rover Evoque,Sport Utility,9929,,Centerville,UT,Dealer,HSE,firenze red metallic,ebony/ebony,Automatic,,4.0,Gasoline,4.0,,,,SALVR2RX2KH331814,24
2020-03-21,1584801267,https://cars.ksl.com/listing/6324059,33995,2019,Chevrolet,Blazer,Sport Utility,1713,,Ogden,UT,Dealer,RS,white,jet black,Automatic,,6.0,Gasoline,4.0,,,4-Wheel Drive,3GNKBJRS8KS686286,47
2020-03-21,1584801269,https://cars.ksl.com/listing/6262819,46975,2020,Land Rover,Range Rover Evoque,Sport Utility,6892,,Centerville,UT,Dealer,S,fuji white,ebony,Automatic,,4.0,Gasoline,4.0,,,,SALZJ2FXXLH004995,24
2020-03-21,1584801269,https://cars.ksl.com/listing/6240399,4900,2009,Honda,Civic,Sedan,103000,Rebuilt/Reconstructed Title,Salt Lake City,UT,Owner,,,,,,4.0,Compressed Natural Gas,4.0,,,,1HGFA46559L000669,2
2020-03-21,1584801270,https://cars.ksl.com/listing/6044822,19250,2009,Chevrolet,Silverado 2500HD,Truck,129721,Clean Title,Jackson,WY,Dealer,Work Truck,white,gray,Automatic,,8.0,Gasoline,,,,4-Wheel Drive,1GCHK49K49E138570,19
2020-03-21,1584801271,https://cars.ksl.com/listing/6324057,38495,2013,GMC,2500,Truck,85909,Clean Title,Orem,UT,Dealer,Denali,red,ebony,Automatic,,8.0,Diesel,4.0,,,4-Wheel Drive,1GT125E86DF126800,42
2020-03-21,1584801271,https://cars.ksl.com/listing/6324056,25995,2008,Ford,F-350,Truck,84462,Clean Title,Orem,UT,Dealer,Lariat,black,camel,Automatic,,8.0,Diesel,4.0,,,4-Wheel Drive,1FTWW31R38EB60900,32
2020-03-21,1584801273,https://cars.ksl.com/listing/6324055,24995,2008,Toyota,Tacoma,Truck,64000,Clean Title,Orem,UT,Dealer,,silver,graphite,Manual,,6.0,Gasoline,4.0,,,4-Wheel Drive,5TELU42N38Z555778,30
